date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:08	2651973/2651973	---M--	200	added ('OK')	image/jpeg	etag:5b7f8aa736ff9a4bd75deb8b915bdcc7	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/f17aa632-a963-4e49-88ab-d08a33aa605f.jpg?h=35b7c3a6385b84a39186b86a58c6f642	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/f17aa632-a963-4e49-88ab-d08a33aa605f642e.jpg	(from https://mohdsarfaraz.myportfolio.com/francesca-evangelista)
09:46:08	1397690/1397690	---M--	200	added ('OK')	image/jpeg	etag:66d9818d47e88d0b62d93cbb9c940dbb	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/f17aa632-a963-4e49-88ab-d08a33aa605f_rw_1920.jpg?h=76066001334d15d233cae6f950e337f1	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/f17aa632-a963-4e49-88ab-d08a33aa605f_rw_19208c41.jpg	(from https://mohdsarfaraz.myportfolio.com/francesca-evangelista)
09:46:08	2324892/2324892	---M--	200	added ('OK')	image/jpeg	etag:adfda280bbf53828fcaa9fe3ebf92342	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/417630dc-e807-4730-b11c-29f34ab5d21c.jpg?h=e09e177a4e3079de4c330385e9078c07	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/417630dc-e807-4730-b11c-29f34ab5d21c050e.jpg	(from https://mohdsarfaraz.myportfolio.com/francesca-evangelista)
09:46:09	1169123/1169123	---M--	200	added ('OK')	image/jpeg	etag:1d1e3a7134f9560f373de37d19afd7c5	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/417630dc-e807-4730-b11c-29f34ab5d21c_rw_1920.jpg?h=1a1d694f3483c0e36a73750d125484f0	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/417630dc-e807-4730-b11c-29f34ab5d21c_rw_1920235d.jpg	(from https://mohdsarfaraz.myportfolio.com/francesca-evangelista)
09:46:09	71865/71865	---M--	200	added ('OK')	text/css	etag:199f97b201c33f11e2b9075ab1cc0707	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/eb0fe52089f92ab030d0ee6163c622fa1661726949.css?h=0fb02582dfdcb7ef205054d840267c89	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/eb0fe52089f92ab030d0ee6163c622fa1661726949fbff.css	(from https://mohdsarfaraz.myportfolio.com/konica-minolta)
09:46:10	1980929/1980929	---M--	200	added ('OK')	image/jpeg	etag:5b43c296f9601faf2f751de55964fbd1	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/37946843-5929-446f-9879-295d31a3f8b1.jpg?h=4595451a2957478414a9e2170d91afd1	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/37946843-5929-446f-9879-295d31a3f8b12a22.jpg	(from https://mohdsarfaraz.myportfolio.com/konica-minolta)
09:46:10	1033225/1033225	---M--	200	added ('OK')	image/jpeg	etag:cb20ea0735045187e806a97aa5fe7eda	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/37946843-5929-446f-9879-295d31a3f8b1_rw_1920.jpg?h=3586f3582b2cad5711ab50a6a065d6d8	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/37946843-5929-446f-9879-295d31a3f8b1_rw_19203e34.jpg	(from https://mohdsarfaraz.myportfolio.com/konica-minolta)
09:46:11	2959577/2959577	---M--	200	added ('OK')	image/jpeg	etag:cde0c6f32eda87eed4c25917a8a21672	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/112461f0-e5a9-4234-b5bf-431b6eff707d.jpg?h=183504e0ea9dc3eae91de50b9c686125	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/112461f0-e5a9-4234-b5bf-431b6eff707da28c.jpg	(from https://mohdsarfaraz.myportfolio.com/konica-minolta)
09:46:11	1495710/1495710	---M--	200	added ('OK')	image/jpeg	etag:e5ae0aeccf4ab125765fffbec9793bed	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/112461f0-e5a9-4234-b5bf-431b6eff707d_rw_1920.jpg?h=67beff43f76abb8a13e67a5cd33a1c5c	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/112461f0-e5a9-4234-b5bf-431b6eff707d_rw_1920cea8.jpg	(from https://mohdsarfaraz.myportfolio.com/konica-minolta)
09:46:12	1358678/1358678	---M--	200	added ('OK')	image/jpeg	etag:02c4956e172075530b2593f034eab443	https://cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/fbfc88dd-7357-4626-8e70-fe0ef405b8bd_rw_1920.jpg?h=2ce7b3e8ebd95c9e574769196b46938f	F:/portfolio/cdn.myportfolio.com/924c4a71-7adc-42df-a245-31bd215f0b1c/fbfc88dd-7357-4626-8e70-fe0ef405b8bd_rw_192040df.jpg	(from https://mohdsarfaraz.myportfolio.com/konica-minolta)
